dataName,friendlyName,family,tier,mount,slots,baseWeaponMass_tons,crew,magazine,ammoMass_kg,proposed_ammoMass_kg,ammoMass_delta_pct,vanilla_massDerivedDiameter_mm,proposed_massDerivedDiameter_mm,massDerivedDiameter_delta_pct,vanilla_physicalCrossSection_m2,proposed_physicalCrossSection_m2,physicalCrossSection_delta_pct,warheadMass_kg,proposed_warheadMass_kg,warheadMass_delta_pct,vanilla_durability_kg,proposed_durability_kg,durability_delta_pct,salvo_shots,proposed_salvo_shots,salvo_shots_delta,vanilla_intraSalvoCooldown_s,proposed_intraSalvoCooldown_s,intraSalvoCooldown_delta_pct,vanilla_targetingRange_km,proposed_targetingRange_km,targetingRange_delta_pct,vanilla_cooldown_s,proposed_cooldown_s,cooldown_delta_pct,vanilla_cycle_s,proposed_cycle_s,cycle_delta_pct,vanilla_effective_rpm,proposed_effective_rpm,effective_rpm_delta_pct,first_shot_travel_before_next_salvo_km,full_salvo_arrival_range_km,vanilla_muzzleVelocity_kps,proposed_muzzleVelocity_kps,muzzleVelocity_delta_pct,coil_equivalent_velocity_kps,alien_velocity_floor_applied,vanilla_efficiency,proposed_efficiency,efficiency_delta_pp,efficiency_delta_pct,vanilla_damage_MJ_per_shot,proposed_damage_MJ_per_shot,damage_delta_pct,vanilla_input_GJ_per_shot,proposed_input_GJ_per_shot,input_delta_pct,vanilla_avg_input_MW,proposed_avg_input_MW,avg_input_delta_pct,vanilla_weapon_heat_MW,proposed_weapon_heat_MW,weapon_heat_delta_pct,source_template,proposal_notes
CoilCannonMk3,Coil Cannon Mk3,Human Coil,Mk3,TwoNoseVert,2,100,5,360,50,63,0.26,69.094096,74.62731,0.080082,0.003749,0.004374,0.166578,43.75,55,0.257143,43.75,55,0.257143,5,5,0,12,12,0,800,800,0,24,10,-0.583333,72,58,-0.194444,4.166667,5.172414,0.241379,522,90,9,9,0,,false,0.7,0.7,0,0,1771.875,2227.5,0.257143,2.892857,3.645,0.26,200.892857,314.224138,0.564138,60.267857,94.267241,0.564138,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
HeavyCoilCannonMk1,Heavy Coil Cannon Mk1,Human Coil,Mk1,ThreeNoseAngle,3,180,6,360,75,94,0.253333,79.092996,85.276013,0.078174,0.004913,0.005711,0.162459,56.25,71,0.262222,56.25,71,0.262222,3,3,0,12,12,0,800,800,0,48,34,-0.291667,72,58,-0.194444,2.5,3.103448,0.241379,394,231,6.8,6.8,0,,false,0.5,0.5,0,0,1300.5,1641.52,0.262222,3.468,4.34656,0.253333,144.5,224.822069,0.555862,72.25,112.411034,0.555862,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
HeavyCoilCannonMk2,Heavy Coil Cannon Mk2,Human Coil,Mk2,ThreeNoseAngle,3,165,6,360,75,94,0.253333,79.092996,85.276013,0.078174,0.004913,0.005711,0.162459,60,75,0.25,60,75,0.25,4,4,0,12,12,0,850,850,0,36,22,-0.388889,72,58,-0.194444,3.333333,4.137931,0.241379,447,169,7.7,7.7,0,,false,0.6,0.6,0,0,1778.7,2223.375,0.25,3.705625,4.644383,0.253333,205.868056,320.302299,0.555862,82.347222,128.12092,0.555862,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
HeavyCoilCannonMk3,Heavy Coil Cannon Mk3,Human Coil,Mk3,ThreeNoseAngle,3,150,6,360,75,94,0.253333,79.092996,85.276013,0.078174,0.004913,0.005711,0.162459,65.625,82,0.249524,65.625,82,0.249524,5,5,0,12,12,0,900,900,0,24,10,-0.583333,72,58,-0.194444,4.166667,5.172414,0.241379,551,95,9.5,9.5,0,,false,0.7,0.7,0,0,2961.328125,3700.25,0.249524,4.834821,6.059643,0.253333,335.751488,522.383005,0.555862,100.725446,156.714901,0.555862,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
SpinalCoilerMk1,Spinal Coiler Mk1,Human Coil,Mk1,FourNose,4,240,6,450,100,125,0.25,87.053106,93.775115,0.077217,0.005952,0.006907,0.160397,75,94,0.253333,75,94,0.253333,3,3,0,12,12,0,900,900,0,48,34,-0.291667,72,58,-0.194444,2.5,3.103448,0.241379,418,245,7.2,7.2,0,,false,0.5,0.5,0,0,1944,2436.48,0.253333,5.184,6.48,0.25,216,335.172414,0.551724,108,167.586207,0.551724,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
SpinalCoilerMk2,Spinal Coiler Mk2,Human Coil,Mk2,FourNose,4,220,6,450,100,125,0.25,87.053106,93.775115,0.077217,0.005952,0.006907,0.160397,80,100,0.25,80,100,0.25,4,4,0,12,12,0,950,950,0,36,22,-0.388889,72,58,-0.194444,3.333333,4.137931,0.241379,470,178,8.1,8.1,0,,false,0.6,0.6,0,0,2624.4,3280.5,0.25,5.4675,6.834375,0.25,303.75,471.336207,0.551724,121.5,188.534483,0.551724,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
SpinalCoilerMk3,Spinal Coiler Mk3,Human Coil,Mk3,FourNose,4,200,6,450,100,125,0.25,87.053106,93.775115,0.077217,0.005952,0.006907,0.160397,87.5,109,0.245714,87.5,109,0.245714,5,5,0,12,12,0,1000,1000,0,24,10,-0.583333,72,58,-0.194444,4.166667,5.172414,0.241379,574,99,9.9,9.9,0,,false,0.7,0.7,0,0,4287.9375,5341.545,0.245714,7.000714,8.750893,0.25,486.160714,754.387315,0.551724,145.848214,226.316195,0.551724,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
HeavySiegeCoilerMk1,Heavy Siege Coiler Mk1,Human Coil,Mk1,ThreeNoseAngle,3,1000,6,100,750,938,0.250667,170.400693,183.591209,0.077409,0.022805,0.026472,0.16081,562.5,704,0.251556,562.5,704,0.251556,3,3,0,36,36,0,800,800,0,48,24,-0.5,120,96,-0.2,1.5,1.875,0.25,326,82,3.4,3.4,0,,false,0.5,0.5,0,0,3251.25,4069.12,0.251556,8.67,10.84328,0.250667,216.75,338.8525,0.563333,108.375,169.42625,0.563333,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
HeavySiegeCoilerMk2,Heavy Siege Coiler Mk2,Human Coil,Mk2,ThreeNoseAngle,3,1000,6,100,750,938,0.250667,170.400693,183.591209,0.077409,0.022805,0.026472,0.16081,600,750,0.25,600,750,0.25,3,3,0,24,24,0,850,850,0,36,19,-0.472222,84,67,-0.202381,2.142857,2.686567,0.253731,255,72,3.8,3.8,0,,false,0.6,0.6,0,0,4332,5415,0.25,9.025,11.287267,0.250667,322.321429,505.4,0.568,128.928571,202.16,0.568,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
HeavySiegeCoilerMk3,Heavy Siege Coiler Mk3,Human Coil,Mk3,ThreeNoseAngle,3,1000,6,100,750,938,0.250667,170.400693,183.591209,0.077409,0.022805,0.026472,0.16081,656.25,821,0.251048,656.25,821,0.251048,3,3,0,18,18,0,900,900,0,24,12,-0.5,60,48,-0.2,3,3.75,0.25,226,56,4.7,4.7,0,,false,0.7,0.7,0,0,7248.28125,9067.945,0.251048,11.833929,14.8003,0.250667,591.696429,925.01875,0.563333,177.508929,277.505625,0.563333,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
SpinalSiegeCoilerMk1,Spinal Siege Coiler Mk1,Human Coil,Mk1,FourNose,4,1500,6,120,1000,1250,0.25,187.550231,202.032362,0.077217,0.027626,0.032058,0.160397,750,938,0.250667,750,938,0.250667,3,3,0,36,36,0,900,900,0,48,24,-0.5,120,96,-0.2,1.5,1.875,0.25,346,86,3.6,3.6,0,,false,0.5,0.5,0,0,4860,6078.24,0.250667,12.96,16.2,0.25,324,506.25,0.5625,162,253.125,0.5625,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
SpinalSiegeCoilerMk2,Spinal Siege Coiler Mk2,Human Coil,Mk2,FourNose,4,1500,6,120,1000,1250,0.25,187.550231,202.032362,0.077217,0.027626,0.032058,0.160397,800,1000,0.25,800,1000,0.25,3,3,0,24,24,0,950,950,0,36,19,-0.472222,84,67,-0.202381,2.142857,2.686567,0.253731,275,78,4.1,4.1,0,,false,0.6,0.6,0,0,6724,8405,0.25,14.008333,17.510417,0.25,500.297619,784.048507,0.567164,200.119048,313.619403,0.567164,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
SpinalSiegeCoilerMk3,Spinal Siege Coiler Mk3,Human Coil,Mk3,FourNose,4,1500,6,120,1000,1250,0.25,187.550231,202.032362,0.077217,0.027626,0.032058,0.160397,875,1094,0.250286,875,1094,0.250286,3,3,0,18,18,0,1000,1000,0,24,12,-0.5,60,48,-0.2,3,3.75,0.25,240,60,5,5,0,,false,0.7,0.7,0,0,10937.5,13675,0.250286,17.857143,22.321429,0.25,892.857143,1395.089286,0.5625,267.857143,418.526786,0.5625,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained."
AlienLightMagBattery,Alien Light Mag Battery,Alien Mag,Base,OneHull,1,40,1,1500,15,19,0.266667,46.253864,50.045935,0.081984,0.00168,0.001967,0.170689,12.75,16,0.254902,12.75,16,0.254902,4,4,0,5,5,0,550,550,0,15,9,-0.4,30,24,-0.2,8,10,0.25,110,41,3.2,4.6,0.4375,4.5,true,0.6,0.6,0,0,65.28,169.28,1.593137,0.128,0.335033,1.617448,17.066667,55.838889,2.27181,6.826667,22.335556,2.27181,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained. Settled alien muzzle-velocity increase retained."
AlienMagBattery,Alien Mag Battery,Alien Mag,Base,TwoHullHoriz,2,80,2,1800,30,38,0.266667,58.276217,63.053926,0.081984,0.002667,0.003123,0.170689,25.5,32,0.254902,25.5,32,0.254902,4,4,0,6,6,0,700,700,0,18,11,-0.388889,36,29,-0.194444,6.666667,8.275862,0.241379,160,61,4,5.5,0.375,5.4,true,0.6,0.6,0,0,204,484,1.372549,0.4,0.957917,1.394792,44.444444,132.126437,1.972845,17.777778,52.850575,1.972845,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained. Settled alien muzzle-velocity increase retained."
AlienHeavyMagBattery,Alien Heavy Mag Battery,Alien Mag,Base,FourHull,4,160,3,2160,60,75,0.25,73.423433,79.092996,0.077217,0.004234,0.004913,0.160397,51,64,0.254902,51,64,0.254902,4,4,0,7.2,7.2,0,850,850,0,21.6,13,-0.398148,43.2,34.6,-0.199074,5.555556,6.936416,0.248555,221,83,4.8,6.4,0.333333,6.3,true,0.6,0.6,0,0,587.52,1310.72,1.230937,1.152,2.56,1.222222,106.666667,295.953757,1.774566,42.666667,118.381503,1.774566,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained. Settled alien muzzle-velocity increase retained."
AlienMiniLightMagCannon,Alien Mini Light Mag Cannon,Alien Mag,Base,HalfNose,0.5,10,0,100,40,50,0.25,64.141277,69.094096,0.077217,0.003231,0.003749,0.160397,34,43,0.264706,34,43,0.264706,3,3,0,5,5,0,600,600,0,25,18,-0.28,35,28,-0.2,5.142857,6.428571,0.25,154,99,4.2,5.5,0.309524,5.4,true,0.6,0.6,0,0,299.88,650.375,1.168784,0.588,1.260417,1.143566,50.4,135.044643,1.679457,20.16,54.017857,1.679457,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained. Settled alien muzzle-velocity increase retained."
AlienLightMagCannon,Alien Light Mag Cannon,Alien Mag,Base,OneNose,1,50,1,300,40,50,0.25,64.141277,69.094096,0.077217,0.003231,0.003749,0.160397,34,43,0.264706,34,43,0.264706,3,3,0,5,5,0,600,600,0,25,18,-0.28,35,28,-0.2,5.142857,6.428571,0.25,154,99,4.2,5.5,0.309524,5.4,true,0.6,0.6,0,0,299.88,650.375,1.168784,0.588,1.260417,1.143566,50.4,135.044643,1.679457,20.16,54.017857,1.679457,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained. Settled alien muzzle-velocity increase retained."
AlienMagCannon,Alien Mag Cannon,Alien Mag,Base,TwoNoseVert,2,100,2,360,80,100,0.25,80.812945,87.053106,0.077217,0.005129,0.005952,0.160397,68,85,0.25,68,85,0.25,3,3,0,6,6,0,750,750,0,30,22,-0.266667,42,34,-0.190476,4.285714,5.294118,0.235294,228,147,5.12,6.7,0.308594,6.3,true,0.6,0.6,0,0,891.2896,1907.825,1.140522,1.747627,3.740833,1.140522,124.830476,330.073529,1.644174,49.93219,132.029412,1.644174,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained. Settled alien muzzle-velocity increase retained."
AlienHeavyMagCannon,Alien Heavy Mag Cannon,Alien Mag,Base,ThreeNoseAngle,3,150,2,400,120,150,0.25,92.507729,99.65093,0.077217,0.006721,0.007799,0.160397,102,128,0.254902,102,128,0.254902,3,3,0,9,9,0,850,850,0,45,32,-0.288889,63,50,-0.206349,2.857143,3.6,0.26,415,266,6.4,8.3,0.296875,6.8,true,0.6,0.6,0,0,2088.96,4408.96,1.1106,4.096,8.61125,1.102356,195.047619,516.675,1.648969,78.019048,206.67,1.648969,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained. Settled alien muzzle-velocity increase retained."
AlienSpinalMagCannon,Alien Spinal Mag Cannon,Alien Mag,Base,FourNose,4,200,3,450,160,200,0.25,101.81793,109.68004,0.077217,0.008142,0.009448,0.160397,136,170,0.25,136,170,0.25,3,3,0,12,12,0,950,950,0,60,43,-0.283333,84,67,-0.202381,2.142857,2.686567,0.253731,670,430,7.68,10,0.302083,7.2,true,0.6,0.6,0,0,4010.8032,8500,1.119276,7.86432,16.666667,1.119276,280.868571,746.268657,1.657003,112.347429,298.507463,1.657003,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained. Settled alien muzzle-velocity increase retained."
AdvancedAlienLightMagBattery,Advanced Alien Light Mag Battery,Alien Mag,Advanced,OneHull,1,40,1,1500,15,19,0.266667,46.253864,50.045935,0.081984,0.00168,0.001967,0.170689,13.5,17,0.259259,13.5,17,0.259259,5,5,0,5,5,0,600,600,0,10,4,-0.6,30,24,-0.2,10,12.5,0.25,149,25,4.8,6.2,0.291667,5.4,true,0.7,0.7,0,0,155.52,326.74,1.100952,0.246857,0.521686,1.11331,41.142857,108.684524,1.641638,12.342857,32.605357,1.641638,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained. Settled alien muzzle-velocity increase retained."
AdvancedAlienMagBattery,Advanced Alien Mag Battery,Alien Mag,Advanced,TwoHullHoriz,2,80,2,1800,30,38,0.266667,58.276217,63.053926,0.081984,0.002667,0.003123,0.170689,27,34,0.259259,27,34,0.259259,5,5,0,6,6,0,750,750,0,12,5,-0.583333,36,29,-0.194444,8.333333,10.344828,0.241379,226,39,6,7.8,0.3,6.3,true,0.7,0.7,0,0,486,1034.28,1.128148,0.771429,1.651371,1.140667,107.142857,284.719212,1.657379,32.142857,85.415764,1.657379,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained. Settled alien muzzle-velocity increase retained."
AdvancedAlienHeavyMagBattery,Advanced Alien Heavy Mag Battery,Alien Mag,Advanced,FourHull,4,160,3,2160,60,75,0.25,73.423433,79.092996,0.077217,0.004234,0.004913,0.160397,54,68,0.259259,54,68,0.259259,5,5,0,7.2,7.2,0,900,900,0,14.4,6,-0.583333,43.2,34.8,-0.194444,6.944444,8.62069,0.241379,327,56,7.2,9.4,0.305556,7.2,true,0.7,0.7,0,0,1399.68,3004.24,1.146376,2.221714,4.733571,1.130594,257.142857,680.110837,1.644875,77.142857,204.033251,1.644875,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained. Settled alien muzzle-velocity increase retained."
AdvancedAlienLightMagCannon,Advanced Alien Light Mag Cannon,Alien Mag,Advanced,OneNose,1,50,1,300,40,50,0.25,64.141277,69.094096,0.077217,0.003231,0.003749,0.160397,36,45,0.25,36,45,0.25,4,4,0,5,5,0,650,650,0,20,13,-0.35,35,28,-0.2,6.857143,8.571429,0.25,230,107,6.3,8.2,0.301587,6.3,true,0.7,0.7,0,0,714.42,1512.9,1.117662,1.134,2.401429,1.117662,129.6,343.061224,1.647077,38.88,102.918367,1.647077,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained. Settled alien muzzle-velocity increase retained."
AdvancedAlienMagCannon,Advanced Alien Mag Cannon,Alien Mag,Advanced,TwoNoseVert,2,100,2,360,80,100,0.25,80.812945,87.053106,0.077217,0.005129,0.005952,0.160397,72,90,0.25,72,90,0.25,4,4,0,6,6,0,800,800,0,24,16,-0.333333,42,34,-0.190476,5.714286,7.058824,0.235294,340,160,7.68,10,0.302083,7.2,true,0.7,0.7,0,0,2123.3664,4500,1.119276,3.370423,7.142857,1.119276,320.992653,840.336134,1.617929,96.297796,252.10084,1.617929,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained. Settled alien muzzle-velocity increase retained."
AdvancedAlienHeavyMagCannon,Advanced Alien Heavy Mag Cannon,Alien Mag,Advanced,ThreeNoseAngle,3,150,2,400,120,150,0.25,92.507729,99.65093,0.077217,0.006721,0.007799,0.160397,108,135,0.25,108,135,0.25,4,4,0,9,9,0,900,900,0,36,23,-0.361111,63,50,-0.206349,3.809524,4.8,0.26,625,288,9.6,12.5,0.302083,7.7,true,0.7,0.7,0,0,4976.64,10546.875,1.119276,7.899429,16.741071,1.119276,501.55102,1339.285714,1.670288,150.465306,401.785714,1.670288,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained. Settled alien muzzle-velocity increase retained."
AdvancedAlienSpinalMagCannon,Advanced Alien Spinal Mag Cannon,Alien Mag,Advanced,FourNose,4,200,3,450,160,200,0.25,101.81793,109.68004,0.077217,0.008142,0.009448,0.160397,144,180,0.25,144,180,0.25,4,4,0,12,12,0,1000,1000,0,48,31,-0.354167,84,67,-0.202381,2.857143,3.58209,0.253731,1005,465,11.52,15,0.302083,8.1,true,0.7,0.7,0,0,9555.1488,20250,1.119276,15.166903,32.142857,1.119276,722.233469,1918.976546,1.657003,216.670041,575.692964,1.657003,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained. Settled alien muzzle-velocity increase retained."
Gen3AlienLightMagBattery,Gen3 Alien Light Mag Battery,Alien Mag,Gen3,OneHull,1,40,1,1500,27.6,35,0.268116,56.678798,61.348924,0.082396,0.002523,0.002956,0.171582,24,30,0.25,24,30,0.25,6,6,0,4,4,0,650,650,0,10,4,-0.6,30,24,-0.2,12,15,0.25,197,33,6.3,8.2,0.301587,6.3,true,0.8,0.8,0,0,476.28,1008.6,1.117662,0.684653,1.470875,1.148353,136.9305,367.71875,1.685441,27.3861,73.54375,1.685441,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained. Settled alien muzzle-velocity increase retained."
Gen3AlienMagBattery,Gen3 Alien Mag Battery,Alien Mag,Gen3,TwoHullHoriz,2,80,2,1800,55,69,0.254545,71.324461,76.924964,0.078521,0.003995,0.004648,0.163209,48,60,0.25,48,60,0.25,6,6,0,5,5,0,750,750,0,12,5,-0.583333,37,30,-0.189189,9.72973,12,0.233333,309,52,7.9,10.3,0.303797,7.2,true,0.8,0.8,0,0,1497.84,3182.7,1.12486,2.145344,4.575131,1.132587,347.893581,915.02625,1.63019,69.578716,183.00525,1.63019,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained. Settled alien muzzle-velocity increase retained."
Gen3AlienHeavyMagBattery,Gen3 Alien Heavy Mag Battery,Alien Mag,Gen3,FourHull,4,160,3,2160,110,138,0.254545,89.86319,96.919381,0.078521,0.006342,0.007378,0.163209,96,120,0.25,96,120,0.25,6,6,0,6,6,0,900,900,0,14.4,6,-0.583333,44.4,36,-0.189189,8.108108,10,0.233333,446,74,9.5,12.4,0.305263,8.1,true,0.8,0.8,0,0,4332,9225.6,1.12964,6.204688,13.2618,1.137384,838.471284,2210.3,1.636107,167.694257,442.06,1.636107,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained. Settled alien muzzle-velocity increase retained."
Gen3AlienLightMagCannon,Gen3 Alien Light Mag Cannon,Alien Mag,Gen3,OneNose,1,50,1,300,74,93,0.256757,78.739897,84.972537,0.079155,0.004869,0.005671,0.164575,64,80,0.25,64,80,0.25,6,6,0,4,4,0,800,800,0,12,6,-0.5,32,26,-0.1875,11.25,13.846154,0.230769,281,65,8.3,10.8,0.301205,8.1,true,0.8,0.8,0,0,2204.48,4665.6,1.116417,3.186163,6.7797,1.127858,597.405469,1564.546154,1.618902,119.481094,312.909231,1.618902,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,"Implemented projectile housekeeping: approximately +25% complete and damaging/durability mass, approximately -20% total cycle through inter-salvo reload only; vanilla salvo and intra-salvo delay retained. Settled alien muzzle-velocity increase retained."
