dataName,friendlyName,family,tier,mount,peer_dataName,original_muzzleVelocity_kps,proposed_muzzleVelocity_kps,muzzleVelocity_delta_kps,muzzleVelocity_delta_pct,original_targetingRange_km,proposed_targetingRange_km,targetingRange_delta_km,targetingRange_delta_pct,original_cooldown_s,proposed_cooldown_s,cooldown_delta_s,cooldown_delta_pct,salvo_shots,original_intraSalvoCooldown_s,proposed_intraSalvoCooldown_s,intraSalvoCooldown_delta_s,intraSalvoCooldown_delta_pct,original_cycle_s,proposed_cycle_s,cycle_delta_s,cycle_delta_pct,original_warheadMass_kg,proposed_warheadMass_kg,warheadMass_delta_kg,warheadMass_delta_pct,original_damage_MJ_per_shot,proposed_damage_MJ_per_shot,damage_delta_pct,original_sustained_damage_MW,proposed_sustained_damage_MW,sustained_damage_delta_pct,peer_targetingRange_km,peer_sustained_damage_MW,proposed_range_margin_km,proposed_sustained_margin_pct,source_template,proposal_rule
LightCoilgunBatteryMk1,Light Coilgun Battery Mk1,Human Coil,Mk1,OneHull,LightRailgunBatteryMk2,4.5,5.6,1.1,0.244444,500,600,100,0.2,28,28,0,0,3,10,4,-6,-0.6,48,36,-12,-0.25,10,10,0,0,101.25,156.8,0.548642,6.328125,13.066667,1.064856,550,10.164,50,0.285583,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
AdvancedAlienLightMagCannon,Advanced Alien Light Mag Cannon,Alien Mag,Advanced,OneNose,,8.6,10.8,2.2,0.255814,700,850,150,0.214286,13,13,0,0,4,5,3,-2,-0.4,28,22,-6,-0.214286,45,45,0,0,1664.1,2624.4,0.577069,237.728571,477.163636,1.007178,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
AdvancedAlienMagCannon,Advanced Alien Mag Cannon,Alien Mag,Advanced,TwoNoseVert,,10,12.5,2.5,0.25,850,1050,200,0.235294,16,16,0,0,4,6,4,-2,-0.333333,34,28,-6,-0.176471,90,90,0,0,4500,7031.25,0.5625,529.411765,1004.464286,0.897321,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
AdvancedAlienHeavyMagCannon,Advanced Alien Heavy Mag Cannon,Alien Mag,Advanced,ThreeNoseAngle,,12.5,15.6,3.1,0.248,950,1150,200,0.210526,23,23,0,0,4,9,6,-3,-0.333333,50,41,-9,-0.18,135,135,0,0,10546.875,16426.8,0.557504,843.75,1602.614634,0.899395,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
AdvancedAlienSpinalMagCannon,Advanced Alien Spinal Mag Cannon,Alien Mag,Advanced,FourNose,,15,18.8,3.8,0.253333,1050,1300,250,0.238095,31,31,0,0,4,12,8,-4,-0.333333,67,55,-12,-0.179104,180,180,0,0,20250,31809.6,0.570844,1208.955224,2313.425455,0.913574,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
Gen3AlienLightMagBattery,Gen3 Alien Light Mag Battery,Alien Mag,Gen3,OneHull,,8.2,10.3,2.1,0.256098,700,850,150,0.214286,4,4,0,0,6,4,3,-1,-0.25,24,19,-5,-0.208333,30,30,0,0,1008.6,1591.35,0.577781,252.15,502.531579,0.992987,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
Gen3AlienMagBattery,Gen3 Alien Mag Battery,Alien Mag,Gen3,TwoHullHoriz,,10.3,12.9,2.6,0.252427,850,1050,200,0.235294,5,5,0,0,6,5,3,-2,-0.4,30,20,-10,-0.333333,60,60,0,0,3182.7,4992.3,0.568574,636.54,1497.69,1.352861,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
Gen3AlienHeavyMagBattery,Gen3 Alien Heavy Mag Battery,Alien Mag,Gen3,FourHull,,12.4,15.5,3.1,0.25,1000,1250,250,0.25,6,6,0,0,6,6,4,-2,-0.333333,36,26,-10,-0.277778,120,120,0,0,9225.6,14415,0.5625,1537.6,3326.538462,1.163462,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
Gen3AlienLightMagCannon,Gen3 Alien Light Mag Cannon,Alien Mag,Gen3,OneNose,,10.8,13.5,2.7,0.25,800,1000,200,0.25,6,6,0,0,6,4,3,-1,-0.25,26,21,-5,-0.192308,80,80,0,0,4665.6,7290,0.5625,1076.676923,2082.857143,0.934524,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
Gen3AlienMagCannon,Gen3 Alien Mag Cannon,Alien Mag,Gen3,TwoNoseVert,,13.1,16.4,3.3,0.251908,900,1100,200,0.222222,8,8,0,0,6,5,3,-2,-0.4,33,23,-10,-0.30303,160,160,0,0,13728.8,21516.8,0.567275,2496.145455,5613.078261,1.248698,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
Gen3AlienHeavyMagCannon,Gen3 Alien Heavy Mag Cannon,Alien Mag,Gen3,ThreeNoseAngle,,16.5,20.6,4.1,0.248485,1000,1250,250,0.25,14,14,0,0,5,6,4,-2,-0.333333,38,30,-8,-0.210526,320,320,0,0,43560,67897.6,0.558714,5731.578947,11316.266667,0.974372,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
Gen3AlienSpinalMagCannon,Gen3 Alien Spinal Mag Cannon,Alien Mag,Gen3,FourNose,,19.8,24.8,5,0.252525,1100,1350,250,0.227273,23,23,0,0,5,7.2,5,-2.2,-0.305556,51.8,43,-8.8,-0.169884,640,640,0,0,125452.8,196812.8,0.56882,12109.343629,22885.209302,0.88988,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
